SAMPLE	GENOME	TOT_RDS	TOT_BP	Size	MEAN_COV	COM_FRAC
ET_9mem_17	AMD837_Arthrobacter_Actinobacteria_63_1.contigs	167	24755	4712276	0.00525330010381395	0.00100069755108383
ET_9mem_17	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	279	40784	6293399	0.00648044085556946	0.00123445475528874
ET_9mem_17	Burkholderia_bryophila_376MFSha3.1_GCF_000383275.1	6069	894162	7381819	0.121130306771271	0.0230740294581765
ET_9mem_17	Dyella_japonica_UNC79MFTsu3.2_GCF_000620485.1	4780	700342	5018507	0.139551862735272	0.0265831390799446
ET_9mem_17	E.coli_WM3604_scaffold_min1000	13	1956	4612074	0.000424104209949797	8.07873214768346e-05
ET_9mem_17	Klebsiella_michiganensis_M5a1_GCF_002090195.1	129394	19094673	5800138	3.29210667056542	0.627111152616201
ET_9mem_17	Methylobacterium_sp_UNC378MF_GCF_900103195.1	12	1542	6358020	0.000242528334292752	4.61990568593249e-05
ET_9mem_17	Pseudomonas_simiae_WCS417_GCF_000698265.1	11230	1655201	6169071	0.268306362497692	0.0511094958570372
ET_9mem_17	Ralstonia_sp_UNC404CL21Col_GCF_000620465.1	10450	1541153	5087452	0.3029321947411	0.0577053470068814
ET_9mem_17	Sinorhizobium_meliloti_1021_GCF_000006965.1	0	0	6691694	0	0
ET_9mem_17	pBFC0882_Barcoded_VcCas	0	0	10718	0	0
ET_9mem_17	pHLL249	0	0	4808	0	0
ET_9mem_17	pHLL250	36	5426	4892	1.10915780866721	0.211282713906439
ET_9mem_18	AMD830_Bacillus_Bacilli_39_7.contigs	420	62585	5285864	0.0118400700434215	0.00033182450237766
ET_9mem_18	AMD835_Microbacterium_Actinobacteria_70_608.contigs	263	37781	3973113	0.00950916825169584	0.000266499692279911
ET_9mem_18	AMD837_Arthrobacter_Actinobacteria_63_1.contigs	1180	173715	4712276	0.0368643517484969	0.00103314381836926
ET_9mem_18	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	1950	286351	6293399	0.0455002137954387	0.00127516862192359
ET_9mem_18	Burkholderia_bryophila_376MFSha3.1_GCF_000383275.1	49812	7331739	7381819	0.993215764298745	0.0278354203592904
ET_9mem_18	Dyella_japonica_UNC79MFTsu3.2_GCF_000620485.1	37362	5456784	5018507	1.08733214878449	0.0304730840160961
ET_9mem_18	E.coli_WM3604_scaffold_min1000	112	16311	4612074	0.00353658679370713	9.91147981923722e-05
ET_9mem_18	Klebsiella_michiganensis_M5a1_GCF_002090195.1	941916	139035839	5800138	23.9711260318289	0.671804046578531
ET_9mem_18	Methylobacterium_sp_UNC378MF_GCF_900103195.1	75	10663	6358020	0.00167709444135124	4.70014979979713e-05
ET_9mem_18	Pseudomonas_simiae_WCS417_GCF_000698265.1	99702	14694315	6169071	2.38193319545196	0.0667549933724272
ET_9mem_18	Ralstonia_sp_UNC404CL21Col_GCF_000620465.1	84858	12463724	5087452	2.44989515380194	0.0686596647913793
ET_9mem_18	Sinorhizobium_meliloti_1021_GCF_000006965.1	2	32	6691694	4.78204771467434e-06	1.34019528385281e-07
ET_9mem_18	pBFC0882_Barcoded_VcCas	0	0	10718	0	0
ET_9mem_18	pHLL249	0	0	4808	0	0
ET_9mem_18	pHLL250	154	22940	4892	4.68928863450531	0.131419903931607
